房屋编号,小区名称,小区地址,出租方式,房屋面积,房屋朝向,户型结构,所在楼层,出租价格,房屋优点,详情链接
XM2771484041747103744,龙湖春江郦城一期,集美-杏北-龙湖春江郦城一期 ,整租, 15㎡ ,东南 , 1室0厅1卫 , 低楼层 （33层）,600,近地铁 精装 随时看房,https://xm.lianjia.com/zufang/XM2771484041747103744.html
XM2781383791376613376,广顺花园,思明-莲前-广顺花园 ,整租, 60㎡ ,东 北 , 2室1厅1卫 , 中楼层 （7层）,2500,精装,https://xm.lianjia.com/zufang/XM2781383791376613376.html
XM2705052157916758016,翠湖村小区,思明-松柏-翠湖村小区 ,整租, 20㎡ ,南 北 , 1室1厅0卫 , 高楼层 （2层）,1100,近地铁,https://xm.lianjia.com/zufang/XM2705052157916758016.html
XM2770836227250208768,磁巷,思明-中山路-磁巷 ,整租, 30㎡ ,东南 , 1室1厅1卫 , 低楼层 （2层）,1400,精装 随时看房,https://xm.lianjia.com/zufang/XM2770836227250208768.html
XM2784069995096195072,龙湖春江郦城二期,集美-杏北-龙湖春江郦城二期 ,整租, 18㎡ ,西 , 1室0厅1卫 , 中楼层 （33层）,600,新上 近地铁 精装 随时看房,https://xm.lianjia.com/zufang/XM2784069995096195072.html
XM2784197163305926656,龙门天下,湖里-江头-龙门天下 ,整租, 55㎡ ,南 , 1室1厅1卫 , 高楼层 （23层）,2300,新上 精装,https://xm.lianjia.com/zufang/XM2784197163305926656.html
XM2662268513108107264,香港广场,思明-思北-香港广场 ,整租, 45㎡ ,西 北 , 1室1厅1卫 , 中楼层 （38层）,2400,近地铁 随时看房,https://xm.lianjia.com/zufang/XM2662268513108107264.html
XM2786332883030654976,英皇湖畔花苑,思明-松柏-英皇湖畔花苑 ,整租, 30㎡ ,南 , 1室0厅1卫 , 高楼层 （29层）,800,新上 精装 随时看房,https://xm.lianjia.com/zufang/XM2786332883030654976.html
XM2771484041747103744,龙湖春江郦城一期,集美-杏北-龙湖春江郦城一期 ,整租, 15㎡ ,东南 , 1室0厅1卫 , 低楼层 （33层）,600,近地铁 精装 随时看房,https://xm.lianjia.com/zufang/XM2771484041747103744.html
XM2781383791376613376,广顺花园,思明-莲前-广顺花园 ,整租, 60㎡ ,东 北 , 2室1厅1卫 , 中楼层 （7层）,2500,精装,https://xm.lianjia.com/zufang/XM2781383791376613376.html
XM2705052157916758016,翠湖村小区,思明-松柏-翠湖村小区 ,整租, 20㎡ ,南 北 , 1室1厅0卫 , 高楼层 （2层）,1100,近地铁,https://xm.lianjia.com/zufang/XM2705052157916758016.html
XM2770836227250208768,磁巷,思明-中山路-磁巷 ,整租, 30㎡ ,东南 , 1室1厅1卫 , 低楼层 （2层）,1400,精装 随时看房,https://xm.lianjia.com/zufang/XM2770836227250208768.html
XM2784069995096195072,龙湖春江郦城二期,集美-杏北-龙湖春江郦城二期 ,整租, 18㎡ ,西 , 1室0厅1卫 , 中楼层 （33层）,600,新上 近地铁 精装 随时看房,https://xm.lianjia.com/zufang/XM2784069995096195072.html
XM2784197163305926656,龙门天下,湖里-江头-龙门天下 ,整租, 55㎡ ,南 , 1室1厅1卫 , 高楼层 （23层）,2300,新上 精装,https://xm.lianjia.com/zufang/XM2784197163305926656.html
XM2662268513108107264,香港广场,思明-思北-香港广场 ,整租, 45㎡ ,西 北 , 1室1厅1卫 , 中楼层 （38层）,2400,近地铁 随时看房,https://xm.lianjia.com/zufang/XM2662268513108107264.html
XM2786332883030654976,英皇湖畔花苑,思明-松柏-英皇湖畔花苑 ,整租, 30㎡ ,南 , 1室0厅1卫 , 高楼层 （29层）,800,新上 精装 随时看房,https://xm.lianjia.com/zufang/XM2786332883030654976.html
XM2771484041747103744,龙湖春江郦城一期,集美-杏北-龙湖春江郦城一期 ,整租, 15㎡ ,东南 , 1室0厅1卫 , 低楼层 （33层）,600,近地铁 精装 随时看房,https://xm.lianjia.com/zufang/XM2771484041747103744.html
XM2781383791376613376,广顺花园,思明-莲前-广顺花园 ,整租, 60㎡ ,东 北 , 2室1厅1卫 , 中楼层 （7层）,2500,精装,https://xm.lianjia.com/zufang/XM2781383791376613376.html
XM2705052157916758016,翠湖村小区,思明-松柏-翠湖村小区 ,整租, 20㎡ ,南 北 , 1室1厅0卫 , 高楼层 （2层）,1100,近地铁,https://xm.lianjia.com/zufang/XM2705052157916758016.html
XM2770836227250208768,磁巷,思明-中山路-磁巷 ,整租, 30㎡ ,东南 , 1室1厅1卫 , 低楼层 （2层）,1400,精装 随时看房,https://xm.lianjia.com/zufang/XM2770836227250208768.html
XM2784069995096195072,龙湖春江郦城二期,集美-杏北-龙湖春江郦城二期 ,整租, 18㎡ ,西 , 1室0厅1卫 , 中楼层 （33层）,600,新上 近地铁 精装 随时看房,https://xm.lianjia.com/zufang/XM2784069995096195072.html
XM2784197163305926656,龙门天下,湖里-江头-龙门天下 ,整租, 55㎡ ,南 , 1室1厅1卫 , 高楼层 （23层）,2300,新上 精装,https://xm.lianjia.com/zufang/XM2784197163305926656.html
XM2662268513108107264,香港广场,思明-思北-香港广场 ,整租, 45㎡ ,西 北 , 1室1厅1卫 , 中楼层 （38层）,2400,近地铁 随时看房,https://xm.lianjia.com/zufang/XM2662268513108107264.html
XM2786332883030654976,英皇湖畔花苑,思明-松柏-英皇湖畔花苑 ,整租, 30㎡ ,南 , 1室0厅1卫 , 高楼层 （29层）,800,新上 精装 随时看房,https://xm.lianjia.com/zufang/XM2786332883030654976.html
XM2771484041747103744,龙湖春江郦城一期,集美-杏北-龙湖春江郦城一期 ,整租, 15㎡ ,东南 , 1室0厅1卫 , 低楼层 （33层）,600,近地铁 精装 随时看房,https://xm.lianjia.com/zufang/XM2771484041747103744.html
XM2781383791376613376,广顺花园,思明-莲前-广顺花园 ,整租, 60㎡ ,东 北 , 2室1厅1卫 , 中楼层 （7层）,2500,精装,https://xm.lianjia.com/zufang/XM2781383791376613376.html
XM2705052157916758016,翠湖村小区,思明-松柏-翠湖村小区 ,整租, 20㎡ ,南 北 , 1室1厅0卫 , 高楼层 （2层）,1100,近地铁,https://xm.lianjia.com/zufang/XM2705052157916758016.html
XM2770836227250208768,磁巷,思明-中山路-磁巷 ,整租, 30㎡ ,东南 , 1室1厅1卫 , 低楼层 （2层）,1400,精装 随时看房,https://xm.lianjia.com/zufang/XM2770836227250208768.html
XM2784069995096195072,龙湖春江郦城二期,集美-杏北-龙湖春江郦城二期 ,整租, 18㎡ ,西 , 1室0厅1卫 , 中楼层 （33层）,600,新上 近地铁 精装 随时看房,https://xm.lianjia.com/zufang/XM2784069995096195072.html
XM2784197163305926656,龙门天下,湖里-江头-龙门天下 ,整租, 55㎡ ,南 , 1室1厅1卫 , 高楼层 （23层）,2300,新上 精装,https://xm.lianjia.com/zufang/XM2784197163305926656.html
XM2662268513108107264,香港广场,思明-思北-香港广场 ,整租, 45㎡ ,西 北 , 1室1厅1卫 , 中楼层 （38层）,2400,近地铁 随时看房,https://xm.lianjia.com/zufang/XM2662268513108107264.html
